customer_id,awg_engagement_rate,comment_engagement_rate,like_engagement_rate,likes,create_time,full_name,past_communications
39706,0.27909965397769465,0.02668896771317532,0.05829760813728975,1586,2023-02-04,Sophia Chen,33
18509,0.2459669870413559,0.010060673957337776,0.12558000151323215,3843,2023-05-05,Marco Porto,23
29952,0.002327339671360694,8.73030376478822e-05,0.0018966750384261217,24000,2022-11-21,Emma Green,24
15304,0.8443027681552758,0.005883513527038043,3.2478113018398966,100,2023-04-30,Cristobal Tejada,26
38167,0.5139860717219906,0.010404328788608717,0.3303916241111642,126,2022-08-01,Altiva Viana,25
19545,0.04741266679316535,0.00014205293596500685,0.010324757664347164,2000000,2023-04-06,Grace Walters,28
17452,0.016821166153392773,2.9722734136631875e-05,0.0040733504663053675,9000000,2022-12-18,Alfredo Bräutigam,23
27824,0.01687922745441536,0.0011098778958965729,0.0065774522390749405,1667,2022-09-09,Marc Aguilar,28
24183,0.7241023463741028,0.03470639879110198,0.40871768474352066,26,2022-08-09,Clifford Holland,22
23967,0.893095922796464,0.4493946822690262,2.8589504002928776,18,2023-04-01,Nurdan Çevik,30
26856,0.6320163987075947,0.010942028832123276,0.28003517548288664,31300,2022-03-09,Sofia Scott,23
33343,0.061788450817009385,0.0014762432358130528,0.034857125898054855,1025,2023-05-19,Velemudr Chikalenko,21
28641,0.16165601607748523,0.0006476984174156827,0.14764380787788037,92300000,2023-05-26,Tamara Ryan,30
18718,0.009789916918268008,0.00023396151826896852,0.00483226267330229,29500,2022-10-29,Ariane Anderson,30
18585,0.07278283657889807,0.0017346383638439005,0.08785180739488731,2300000,2022-03-25,Magdalena Rosas,22
35288,0.6873536543437356,0.0027314687196929458,0.28604464941432717,248700,2022-11-01,Lyubomudr Zosenko,27
18704,0.13527011127601762,0.0002506616073766173,0.03259721808191703,4400000,2023-03-02,Ibrahim Steinsvik,23
12512,7.893580350058103,0.11509051926529468,7.286809048636364,8064,2023-05-25,Nemanja Dinčić,26
36771,0.3829732674883913,0.010559078085009102,0.35016523658424636,10100,2023-04-08,Nikolaj Rasmussen,24
26145,0.15206875571573494,0.006259552732348645,0.031491084533186796,591400,2023-03-04,Matias Tuomi,29
15603,6.707751627358356,0.05103286034602815,3.2955812027209053,1100000,2022-04-28,Cléa Lucas,20
34230,1.4981327355538165,0.023147986799101974,1.0241034286578248,49500,2022-10-24,Mustafa Atan,28
